canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
209,203,363,9,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
212,216,362,10,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
207,206,364,9,50,10,91,0.900990099009901,0.9191919191919192,0.91
209,203,361,10,50,10,91,0.900990099009901,0.9191919191919192,0.91
211,217,362,10,50,10,91,0.900990099009901,0.9191919191919192,0.91
200,221,361,10,50,12,93,0.8857142857142857,0.9393939393939394,0.9117647058823529
212,216,363,10,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
208,203,362,10,50,10,91,0.900990099009901,0.9191919191919192,0.91
203,222,361,10,50,12,89,0.8811881188118812,0.898989898989899,0.89
213,200,364,9,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
207,490,447,24,481,2,47,0.9591836734693877,0.47474747474747475,0.6351351351351352
214,201,365,10,50,10,90,0.9,0.9090909090909091,0.9045226130653266
215,208,367,9,50,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
213,200,361,10,50,14,90,0.8653846153846154,0.9090909090909091,0.8866995073891625
214,219,364,10,50,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
214,220,362,10,50,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
214,221,362,9,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
214,222,360,9,50,6,87,0.9354838709677419,0.8787878787878788,0.90625
214,221,362,10,50,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
54,277,264,41,91,114,99,0.4647887323943662,1.0,0.6346153846153846
396,92,54,29,492,45,74,0.6218487394957983,0.7474747474747475,0.6788990825688075
213,222,362,10,50,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
213,225,360,10,50,10,93,0.9029126213592233,0.9393939393939394,0.9207920792079209
213,226,359,9,50,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
213,226,359,9,50,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
212,231,355,9,50,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
213,227,359,9,50,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
212,232,354,9,50,10,89,0.898989898989899,0.898989898989899,0.898989898989899
215,226,361,9,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
214,227,360,9,50,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
214,230,357,9,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
213,232,355,9,50,10,89,0.898989898989899,0.898989898989899,0.898989898989899
215,226,362,9,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
215,227,361,9,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
215,228,360,9,50,6,88,0.9361702127659575,0.8888888888888888,0.9119170984455959
368,52,214,44,485,75,82,0.5222929936305732,0.8282828282828283,0.640625
215,228,361,9,50,6,87,0.9354838709677419,0.8787878787878788,0.90625
215,226,363,9,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
488,306,87,38,479,3,40,0.9302325581395349,0.40404040404040403,0.5633802816901408
216,226,361,9,50,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
216,227,360,9,50,6,90,0.9375,0.9090909090909091,0.923076923076923
216,228,357,9,50,6,87,0.9354838709677419,0.8787878787878788,0.90625
216,227,361,9,50,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
216,228,360,9,50,6,87,0.9354838709677419,0.8787878787878788,0.90625
216,226,362,9,50,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
215,227,362,9,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
209,233,362,9,50,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
219,224,359,9,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
220,225,357,9,50,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
207,231,366,10,50,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
205,233,365,10,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
244,302,251,5,58,9,75,0.8928571428571429,0.7575757575757576,0.819672131147541
207,230,369,10,50,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
205,232,369,10,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
460,150,73,13,496,20,59,0.7468354430379747,0.5959595959595959,0.6629213483146067
204,232,368,10,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
51,76,71,1,491,76,85,0.5279503105590062,0.8585858585858586,0.6538461538461539
206,233,368,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
205,233,368,10,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
293,226,281,6,474,7,60,0.8955223880597015,0.6060606060606061,0.7228915662650603
200,237,366,10,50,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
217,217,363,9,88,6,90,0.9375,0.9090909090909091,0.923076923076923
218,216,361,9,104,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
218,216,359,9,112,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
220,216,354,9,130,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
220,216,353,9,131,10,89,0.898989898989899,0.898989898989899,0.898989898989899
218,216,359,9,115,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
218,217,360,9,111,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
218,217,361,9,107,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
218,217,361,9,104,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
218,217,361,9,105,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
58,498,84,2,94,102,81,0.4426229508196721,0.8181818181818182,0.574468085106383
54,56,121,23,475,113,99,0.4669811320754717,1.0,0.6366559485530546
218,217,362,9,103,6,90,0.9375,0.9090909090909091,0.923076923076923
